"blacklist";"list";"ipv"
"141.164.51.196";"apache";"ipv4"
"142.44.133.80";"apache";"ipv4"
"142.44.224.10";"apache";"ipv4"
"142.54.177.5";"apache";"ipv4"
"142.54.181.62";"apache";"ipv4"
"142.93.179.72";"apache";"ipv4"
"142.93.205.80";"apache";"ipv4"
"142.93.99.56";"apache";"ipv4"
"143.110.248.171";"apache";"ipv4"
"143.110.254.222";"apache";"ipv4"
"143.198.128.239";"apache";"ipv4"
"143.198.171.118";"apache";"ipv4"
"143.198.59.211";"apache";"ipv4"
"144.91.109.244";"apache";"ipv4"
"146.59.160.117";"apache";"ipv4"
"147.50.69.26";"apache";"ipv4"
"147.75.118.226";"apache";"ipv4"
"148.203.151.248";"apache";"ipv4"
"148.251.54.157";"apache";"ipv4"
"148.66.135.89";"apache";"ipv4"
"148.72.207.220";"apache";"ipv4"
"149.129.255.178";"apache";"ipv4"
"149.202.8.66";"apache";"ipv4"
"149.56.19.107";"apache";"ipv4"
"149.72.32.143";"apache";"ipv4"
"150.95.108.246";"apache";"ipv4"
"150.95.176.38";"apache";"ipv4"
"151.106.35.44";"apache";"ipv4"
"151.106.38.210";"apache";"ipv4"
"152.136.234.172";"apache";"ipv4"
"154.237.168.253";"apache";"ipv4"
"154.29.131.109";"apache";"ipv4"
"154.29.131.113";"apache";"ipv4"
"154.62.50.132";"apache";"ipv4"
"156.208.18.142";"apache";"ipv4"
"157.230.118.118";"apache";"ipv4"
"157.230.176.101";"apache";"ipv4"
"157.230.214.77";"apache";"ipv4"
"157.230.216.254";"apache";"ipv4"
"157.230.85.59";"apache";"ipv4"
"157.245.231.45";"apache";"ipv4"
"157.245.64.116";"apache";"ipv4"
"157.45.198.143";"apache";"ipv4"
"157.90.246.104";"apache";"ipv4"
"158.181.75.131";"apache";"ipv4"
"159.192.114.232";"apache";"ipv4"
"159.192.8.4";"apache";"ipv4"
"159.203.105.141";"apache";"ipv4"
"159.65.11.151";"apache";"ipv4"
"159.65.128.164";"apache";"ipv4"
"159.65.65.170";"apache";"ipv4"
"159.89.162.165";"apache";"ipv4"
"159.89.32.217";"apache";"ipv4"
"159.89.89.205";"apache";"ipv4"
"159.89.99.68";"apache";"ipv4"
"160.153.245.184";"apache";"ipv4"
"160.238.204.67";"apache";"ipv4"
"161.117.44.63";"apache";"ipv4"
"161.35.106.236";"apache";"ipv4"
"161.35.109.127";"apache";"ipv4"
"161.35.112.221";"apache";"ipv4"
"161.35.192.196";"apache";"ipv4"
"161.43.192.105";"apache";"ipv4"
"161.97.153.49";"apache";"ipv4"
"162.144.113.126";"apache";"ipv4"
"162.144.64.42";"apache";"ipv4"
"162.214.198.70";"apache";"ipv4"
"162.214.7.215";"apache";"ipv4"
"162.218.176.34";"apache";"ipv4"
"162.241.149.137";"apache";"ipv4"
"162.241.174.216";"apache";"ipv4"
"162.241.180.249";"apache";"ipv4"
"162.241.29.157";"apache";"ipv4"
"162.241.69.46";"apache";"ipv4"
"162.243.164.144";"apache";"ipv4"
